year_month,monthly_seasonal_max,monthly_seasonal_min,monthly_seasonal_mean,monthly_seasonal_std,point_count,monthly_seasonal_amplitude,city,feature
2025-03,4.552020942812749,-6.451161508685072,0.22794896700203804,3.0135345079067952,31,11.003182451497821,Suva,humidity
2025-04,5.064824295306247,-10.222292302000753,0.05811426341880486,3.5138507368690743,30,15.287116597307,Suva,humidity
2025-05,5.565453951954617,-11.430969708008172,0.06387309393081383,3.621581909456258,31,16.99642365996279,Suva,humidity
2025-06,6.208629598194279,-11.797729740969244,-0.10412588825483228,3.971768140584536,30,18.006359339163524,Suva,humidity
2025-07,7.162471941246437,-10.89491875368097,0.0037638918912595676,4.4799003324308,31,18.057390694927406,Suva,humidity
2025-08,9.292322653339673,-9.305327810328482,-0.1667086869206375,4.878303421683758,31,18.597650463668153,Suva,humidity
2025-09,10.432079353190112,-9.22435561899243,-0.011083766611973515,4.764908697491109,30,19.65643497218254,Suva,humidity
2025-10,9.287891129519688,-8.539172670477429,-0.11456204162154349,4.250328795613914,31,17.827063799997116,Suva,humidity
2025-11,9.279635104138563,-8.737256410021901,-0.20517671045607308,4.555503121898078,30,18.016891514160463,Suva,humidity
2025-12,8.508551640243999,-9.097855086664168,-0.23463951261559515,5.302443499428459,31,17.60640672690817,Suva,humidity
2026-01,9.118281174477694,-8.596822298938662,-0.2241332411011327,5.533786136295238,31,17.715103473416356,Suva,humidity
2026-02,11.211673924828274,-7.194551143336378,0.5488723483292488,4.568684128917267,28,18.40622506816465,Suva,humidity
2026-03,9.579484715840918,-8.285513753107073,-0.20426679258324054,4.589532737976384,31,17.86499846894799,Suva,humidity
2026-04,11.127462081595835,-7.956944547502539,0.058139753767694174,5.472984150065736,30,19.084406629098375,Suva,humidity
2026-05,12.805287365531694,-16.014562385099218,-1.62829370765806,8.071615852545591,15,28.81984975063091,Suva,humidity
2024-05,3.2025688551489937,-4.6789391058016925,-0.9522303540144137,1.9571711550614683,16,7.881507960950686,Suva,pressure_mb
2024-06,3.3760987152305697,-4.065105591626934,0.0879940520846075,2.1035882846487004,30,7.441204306857504,Suva,pressure_mb
2024-07,2.9312142702040966,-2.9668485063927355,0.13833290852055574,1.5792725725013805,31,5.8980627765968325,Suva,pressure_mb
2024-08,2.552069308458744,-2.8292549730237533,0.044944687230562747,1.2109540230356644,31,5.381324281482497,Suva,pressure_mb
2024-09,2.233011727461042,-2.190439474701812,-0.019254961130003675,1.1298735115280885,30,4.423451202162854,Suva,pressure_mb
2024-10,1.882418188176893,-2.7697343994515564,-0.07824197266101453,1.2348913585421435,31,4.65215258762845,Suva,pressure_mb
2024-11,1.9477165326801336,-2.738848048966564,-0.009393100249533985,1.1508342493667405,30,4.686564581646698,Suva,pressure_mb
2024-12,1.800634817423038,-1.9367487401073624,-0.021593090797741587,0.9408458585254154,31,3.7373835575304004,Suva,pressure_mb
2025-01,1.3632015803890598,-1.577374629018086,0.08872901300216418,0.828517089293691,31,2.940576209407146,Suva,pressure_mb
2025-02,1.5408634829539958,-1.7788446475010915,0.003395608024221825,0.9261110235733063,28,3.319708130455087,Suva,pressure_mb
2025-03,1.7940146490537885,-1.458210285072697,-0.0627229450763273,0.8987771899713809,31,3.2522249341264855,Suva,pressure_mb
2025-04,1.7148871217412274,-1.405292284618257,-0.033501735157402734,0.7667992150537353,30,3.120179406359484,Suva,pressure_mb
2025-05,1.0709409317215095,-1.2669694305241996,0.0005174783371855102,0.7028480056346053,31,2.337910362245709,Suva,pressure_mb
2025-06,1.209476755930793,-1.984814042545612,-0.010177950232081229,0.9157003094694226,30,3.194290798476405,Suva,pressure_mb
2025-07,1.8084173616301455,-2.7636155869247405,0.005937178662686013,1.1728745021755598,31,4.572032948554886,Suva,pressure_mb
2025-08,2.3103864025365835,-3.2455016494288107,0.037318790568131525,1.317907700943098,31,5.555888051965394,Suva,pressure_mb
2025-09,2.327121301151294,-2.950579604148765,0.032772820599568896,1.3284871663084936,30,5.277700905300059,Suva,pressure_mb
2025-10,1.9813738999270576,-2.435843435210453,0.10937439611068397,1.1233468513651206,31,4.417217335137511,Suva,pressure_mb
2025-11,2.0061198022087763,-1.9687980517809889,-0.011737281524820876,1.0411579066388996,30,3.974917853989765,Suva,pressure_mb
2025-12,2.1266363784323365,-1.8494306993419192,-0.07595736148955004,1.0500604656764476,31,3.976067077774256,Suva,pressure_mb
2026-01,2.032293487131463,-1.6417464304672702,-0.06939725190474465,1.0236103680959305,31,3.674039917598733,Suva,pressure_mb
2026-02,1.4916789709532028,-1.590757879705876,0.10728338697965571,0.8177737394880059,28,3.0824368506590787,Suva,pressure_mb
2026-03,2.168172578300473,-1.726823534264985,0.02614328265478516,0.8710407328724564,31,3.894996112565458,Suva,pressure_mb
2026-04,3.4035126330710743,-2.169333711590087,0.04710158764758457,1.2104861941307279,30,5.572846344661161,Suva,pressure_mb
2026-05,4.6363741055764365,-2.744776786647175,-0.31032160246236473,1.6313425759699123,15,7.381150892223611,Suva,pressure_mb
2024-05,0.5261578596417243,-0.1555749985354424,0.022600305698815416,0.18158490627869178,16,0.6817328581771668,Suva,precip_mm
2024-06,0.3395376077250243,-0.105406544250565,-0.003824554633101582,0.09785318292854005,30,0.4449441519755893,Suva,precip_mm
2024-07,0.1585341815543731,-0.0875705792690658,-0.003495258480149616,0.06558447048920156,31,0.2461047608234389,Suva,precip_mm
2024-08,0.2546520662705326,-0.0903622264323791,-0.0016278534252725867,0.08003636258145332,31,0.34501429270291173,Suva,precip_mm
2024-09,0.4141071122301941,-0.1339321108468345,0.004442281836481039,0.13520467130289054,30,0.5480392230770286,Suva,precip_mm
2024-10,0.5832615563607789,-0.1527025438121564,0.00540767085236239,0.18175923920205153,31,0.7359641001729353,Suva,precip_mm
2024-11,0.7207231651265857,-0.1559972816543741,0.004777579900110014,0.19801423382054129,30,0.8767204467809598,Suva,precip_mm
2024-12,0.6095090488962871,-0.1523504360430947,-0.0030425495863838133,0.16586222800664177,31,0.7618594849393818,Suva,precip_mm
2025-01,0.4927147414361311,-0.1227724020135492,-0.006290696266149708,0.15603798165687005,31,0.6154871434496803,Suva,precip_mm
2025-02,0.654256641480203,-0.1204201687492874,0.004185723852624101,0.20672690580500205,28,0.7746768102294904,Suva,precip_mm
2025-03,0.991090307161126,-0.1497982086514852,-0.007459458361657958,0.22854252294562052,31,1.1408885158126112,Suva,precip_mm
2025-04,1.341969050825442,-0.1444568097458968,0.00022019637871513708,0.2789510160608271,30,1.4864258605713387,Suva,precip_mm
2025-05,0.8827295587188059,-0.1060582171413959,-0.0028708254075847273,0.18395192190817683,31,0.9887877758602017,Suva,precip_mm
2025-06,0.4807849877361546,-0.0755983489340365,0.0024065083608295133,0.10928709699447593,30,0.5563833366701911,Suva,precip_mm
2025-07,0.2042629216143036,-0.053008212390176,-0.0006823432156898904,0.050772614883085695,31,0.2572711340044796,Suva,precip_mm
2025-08,0.235353836961813,-0.0476013436397627,2.144851970094499e-05,0.0570605716472999,31,0.2829551806015757,Suva,precip_mm
2025-09,0.3283436845959303,-0.0508078586830059,0.0013760946113202583,0.0777736503696122,30,0.3791515432789362,Suva,precip_mm
2025-10,0.4351786981187802,-0.0925246538852309,0.006002564010560951,0.11516067315341202,31,0.5277033520040111,Suva,precip_mm
2025-11,0.5133049580181173,-0.1646194634561373,0.0020291255876134814,0.1755097157934686,30,0.6779244214742546,Suva,precip_mm
2025-12,0.5710907484790261,-0.2892809112978289,-0.010270086182399128,0.2585148668549412,31,0.8603716597768549,Suva,precip_mm
2026-01,0.8685921204805169,-0.4546565937142475,0.013202935297294084,0.35768201356730883,31,1.3232487141947644,Suva,precip_mm
2026-02,1.3773681524263086,-0.4623153665790509,-0.023108913205040986,0.38770061132695904,28,1.8396835190053595,Suva,precip_mm
2026-03,1.8919698237319476,-0.4528798591257766,-0.018669772583853134,0.4614614009988598,31,2.344849682857724,Suva,precip_mm
2026-04,2.404246006075887,-0.5014894114446263,-0.008296826086277605,0.5681130037526364,30,2.9057354175205132,Suva,precip_mm
2026-05,0.8396546023510517,-0.401741850278257,-0.013860367238892495,0.43854297090952576,15,1.2413964526293086,Suva,precip_mm
2024-05,4.947990988088063,-4.115874865428283,-0.816934061577706,2.2631015719001,16,9.063865853516345,Suva,wind_kph
2024-06,8.478643580977723,-3.8073204169987553,0.15822202154880297,2.4483485120673203,30,12.285963997976477,Suva,wind_kph
2024-07,7.648220166527731,-3.778581479066604,0.16876414544129115,2.421203953545251,31,11.426801645594335,Suva,wind_kph
2024-08,6.80956266454546,-5.914729272067022,0.14581660283788142,2.9336945661655283,31,12.724291936612481,Suva,wind_kph
2024-09,5.467659606319854,-5.753861458845038,0.047340785582233987,3.0203104848446762,30,11.221521065164893,Suva,wind_kph
2024-10,5.472654226453632,-4.538135964418308,-0.038800734879746855,2.67562452013878,31,10.01079019087194,Suva,wind_kph
2024-11,4.329313034366406,-4.884973750237796,-0.046640425890814144,2.374673186908409,30,9.214286784604202,Suva,wind_kph
2024-12,3.3880835426939835,-4.302046621375903,-0.1485319998602337,2.118879538570506,31,7.6901301640698865,Suva,wind_kph
2025-01,2.4287787557885343,-3.758325219778852,-0.08151025730722929,1.874191314652574,31,6.1871039755673864,Suva,wind_kph
2025-02,4.2896568356111615,-4.097716975112421,-0.06948098857860883,2.056671626579562,28,8.387373810723583,Suva,wind_kph
2025-03,4.693784173400081,-4.915394146474793,-0.2829058462646328,2.282113210793849,31,9.609178319874875,Suva,wind_kph
2025-04,3.970904373916224,-5.385388969009635,-0.02058201639704341,2.39803363918779,30,9.35629334292586,Suva,wind_kph
2025-05,3.789739187732454,-4.775385571002221,0.11571603261220768,2.3521073911704233,31,8.565124758734674,Suva,wind_kph
2025-06,3.5962210979422347,-5.449103235612061,0.24111261077451165,2.188617032411806,30,9.045324333554294,Suva,wind_kph
2025-07,4.85277524761339,-5.583729885749802,0.11492548576475815,2.2950214714459025,31,10.436505133363191,Suva,wind_kph
2025-08,3.933348828734899,-5.51070129425282,-0.0459905981104209,2.288260191639044,31,9.444050122987719,Suva,wind_kph
2025-09,5.519059810923972,-5.2256323480027165,0.018877110656607424,2.363377079840757,30,10.74469215892669,Suva,wind_kph
2025-10,4.608824727988965,-3.4481402471698264,0.06589725124567135,2.0435501028156646,31,8.056964975158792,Suva,wind_kph
2025-11,3.418135483985987,-3.389424838600946,0.05038340577599993,1.78070279535775,30,6.807560322586934,Suva,wind_kph
