scope,city,var_1,var_2,pearson,spearman,mutual_information,distance_correlation,cross_correlation,best_lag
city,Bern,temperature_celsius,air_quality_PM2.5,-0.152109458247659,-0.1767969005365162,0.1307612101073365,0.1842870114955679,-0.2192909805881858,13.0
city,Bern,humidity,precip_mm,0.1167300850463856,0.0432299751910593,0.05044486548387,0.130555955348044,0.1167300850463859,0.0
city,Bern,wind_kph,air_quality_PM2.5,-0.2578865926622267,-0.2960287765572706,0.0972510599721525,0.2662848678107095,-0.257886592662227,0.0
city,Bern,wind_kph,air_quality_PM10,-0.2768308763485644,-0.3071365097027564,0.0830733721694532,0.2769352878542708,-0.2768308763485642,0.0
city,Bern,visibility_km,air_quality_PM2.5,-0.0224445629460614,-0.0600766554886145,0.0127593320241605,0.0541698540953829,0.0785704125428945,-19.0
city,Bern,visibility_km,air_quality_PM10,-0.0042745482298746,-0.0359516929630907,0.0259726434085079,0.0481719245166242,0.1031321880424231,-23.0
city,Bern,air_quality_PM2.5,air_quality_PM10,0.9574288003882448,0.9756404449007966,1.777930582454644,0.9640803099693056,0.9574288003882442,0.0
city,Suva,temperature_celsius,humidity,-0.3365909221276145,-0.1471134202587012,0.4419945265692249,0.2909499926385688,-0.336590922127612,0.0
city,Suva,temperature_celsius,pressure_mb,-0.4674496165206998,-0.6567816197165145,0.3227494642522264,0.6251097869796916,-0.5829618855955557,-28.0
city,Suva,temperature_celsius,air_quality_PM2.5,-0.1596445340119822,-0.1231278436156445,0.1250327709599981,0.2774707222420998,-0.2880952487558298,-30.0
city,Suva,humidity,precip_mm,0.123474577120794,0.1641731724380204,0.0542294886711247,0.1888308385655344,0.1234745771207946,0.0
city,Suva,wind_kph,air_quality_PM2.5,0.1746189002776458,0.3086163259391334,0.0428243507697718,0.307024700431926,0.213949903869471,5.0
city,Suva,wind_kph,air_quality_PM10,0.1824126438726362,0.3238106304994021,0.0410490227707125,0.3224415817279311,0.1907416660492614,14.0
city,Suva,visibility_km,air_quality_PM2.5,0.014745535779799,0.0679216097703846,0.0,0.0511511324616399,0.0753646814245849,-3.0
city,Suva,visibility_km,air_quality_PM10,0.0068429524578077,0.0677925630530606,0.024972633569029,0.0538139156451383,-0.0845940445336248,-23.0
city,Suva,air_quality_PM2.5,air_quality_PM10,0.9494132942959276,0.9068551211592316,1.6967392885453436,0.937338472069683,0.9494132942959274,0.0
city,Dakar,temperature_celsius,humidity,-0.1101228038167501,-0.165222073037756,0.5371234383385941,0.2217118995142508,-0.1602278601170972,-29.0
city,Dakar,temperature_celsius,pressure_mb,0.0046520654914314,-0.0182419555968655,0.0306525383740128,0.1099079292181764,0.1318027227222154,-26.0
city,Dakar,temperature_celsius,air_quality_PM2.5,-0.2415568415888346,-0.2904995845007442,0.1582820414349997,0.2856502778287629,-0.3002278851016018,13.0
city,Dakar,humidity,precip_mm,0.1017203349383747,0.1025331610662123,0.0886746619974188,0.1335805802753988,0.1128499645935113,29.0
city,Dakar,wind_kph,air_quality_PM2.5,0.134018066317075,0.1963701852388341,0.0527036804746003,0.1853308598085934,0.2045130662052242,-8.0
city,Dakar,wind_kph,air_quality_PM10,0.1058720403880076,0.163613084747853,0.095437229160864,0.1504252391459633,0.1915522534505557,-2.0
city,Dakar,visibility_km,air_quality_PM2.5,-0.3004725092509578,-0.2465609080211286,0.0388481095462718,0.2926164878898453,-0.3004725092509582,0.0
